Fecha,ClaveEstado,Estado,NivelSemaforo
25/09/2021,11,Guanajuato,2
26/09/2021,11,Guanajuato,2
27/09/2021,11,Guanajuato,2
28/09/2021,11,Guanajuato,2
29/09/2021,11,Guanajuato,2
30/09/2021,11,Guanajuato,2
01/10/2021,11,Guanajuato,2
02/10/2021,11,Guanajuato,2
03/10/2021,11,Guanajuato,2
20/09/2021,12,Guerrero,2
21/09/2021,12,Guerrero,2
22/09/2021,12,Guerrero,2
23/09/2021,12,Guerrero,2
24/09/2021,12,Guerrero,2
25/09/2021,12,Guerrero,2
26/09/2021,12,Guerrero,2
27/09/2021,12,Guerrero,2
28/09/2021,12,Guerrero,2
29/09/2021,12,Guerrero,2
30/09/2021,12,Guerrero,2
01/10/2021,12,Guerrero,2
02/10/2021,12,Guerrero,2
03/10/2021,12,Guerrero,2
20/09/2021,13,Hidalgo,2
21/09/2021,13,Hidalgo,2
22/09/2021,13,Hidalgo,2
23/09/2021,13,Hidalgo,2
24/09/2021,13,Hidalgo,2
25/09/2021,13,Hidalgo,2
26/09/2021,13,Hidalgo,2
27/09/2021,13,Hidalgo,2
28/09/2021,13,Hidalgo,2
29/09/2021,13,Hidalgo,2
30/09/2021,13,Hidalgo,2
01/10/2021,13,Hidalgo,2
02/10/2021,13,Hidalgo,2
03/10/2021,13,Hidalgo,2
20/09/2021,14,Jalisco,2
21/09/2021,14,Jalisco,2
22/09/2021,14,Jalisco,2
23/09/2021,14,Jalisco,2
24/09/2021,14,Jalisco,2
25/09/2021,14,Jalisco,2
26/09/2021,14,Jalisco,2
27/09/2021,14,Jalisco,2
28/09/2021,14,Jalisco,2
29/09/2021,14,Jalisco,2
30/09/2021,14,Jalisco,2
01/10/2021,14,Jalisco,2
02/10/2021,14,Jalisco,2
03/10/2021,14,Jalisco,2
20/09/2021,15,EdoMex,2
21/09/2021,15,EdoMex,2
22/09/2021,15,EdoMex,2
23/09/2021,15,EdoMex,2
24/09/2021,15,EdoMex,2
25/09/2021,15,EdoMex,2
26/09/2021,15,EdoMex,2
27/09/2021,15,EdoMex,2
28/09/2021,15,EdoMex,2
29/09/2021,15,EdoMex,2
30/09/2021,15,EdoMex,2
01/10/2021,15,EdoMex,2
02/10/2021,15,EdoMex,2
03/10/2021,15,EdoMex,2
20/09/2021,16,Michoacán,2
21/09/2021,16,Michoacán,2
22/09/2021,16,Michoacán,2
23/09/2021,16,Michoacán,2
24/09/2021,16,Michoacán,2
25/09/2021,16,Michoacán,2
26/09/2021,16,Michoacán,2
27/09/2021,16,Michoacán,2
28/09/2021,16,Michoacán,2
29/09/2021,16,Michoacán,2
30/09/2021,16,Michoacán,2
01/10/2021,16,Michoacán,2
02/10/2021,16,Michoacán,2
03/10/2021,16,Michoacán,2
20/09/2021,17,Morelos,3
21/09/2021,17,Morelos,3
22/09/2021,17,Morelos,3
23/09/2021,17,Morelos,3
24/09/2021,17,Morelos,3
25/09/2021,17,Morelos,3
26/09/2021,17,Morelos,3
27/09/2021,17,Morelos,3
28/09/2021,17,Morelos,3
29/09/2021,17,Morelos,3
30/09/2021,17,Morelos,3
01/10/2021,17,Morelos,3
02/10/2021,17,Morelos,3
03/10/2021,17,Morelos,3
20/09/2021,18,Nayarit,2
21/09/2021,18,Nayarit,2
22/09/2021,18,Nayarit,2
23/09/2021,18,Nayarit,2
24/09/2021,18,Nayarit,2
25/09/2021,18,Nayarit,2
26/09/2021,18,Nayarit,2
27/09/2021,18,Nayarit,2
28/09/2021,18,Nayarit,2
29/09/2021,18,Nayarit,2
30/09/2021,18,Nayarit,2
01/10/2021,18,Nayarit,2
02/10/2021,18,Nayarit,2
03/10/2021,18,Nayarit,2
20/09/2021,19,Nuevo León,2
21/09/2021,19,Nuevo León,2
22/09/2021,19,Nuevo León,2
23/09/2021,19,Nuevo León,2
24/09/2021,19,Nuevo León,2
25/09/2021,19,Nuevo León,2
26/09/2021,19,Nuevo León,2
27/09/2021,19,Nuevo León,2
28/09/2021,19,Nuevo León,2
29/09/2021,19,Nuevo León,2
30/09/2021,19,Nuevo León,2
01/10/2021,19,Nuevo León,2
02/10/2021,19,Nuevo León,2
03/10/2021,19,Nuevo León,2
20/09/2021,20,Veracruz,2
21/09/2021,20,Veracruz,2
22/09/2021,20,Veracruz,2
23/09/2021,20,Veracruz,2
24/09/2021,20,Veracruz,2
25/09/2021,20,Veracruz,2
26/09/2021,20,Veracruz,2
27/09/2021,20,Veracruz,2
28/09/2021,20,Veracruz,2
29/09/2021,20,Veracruz,2
30/09/2021,20,Veracruz,2
01/10/2021,20,Veracruz,2
02/10/2021,20,Veracruz,2
03/10/2021,20,Veracruz,2
20/09/2021,20,Oaxaca,2
21/09/2021,20,Oaxaca,2
22/09/2021,20,Oaxaca,2
23/09/2021,20,Oaxaca,2
